,total_sqft,bhk,sq_m,baths,Location,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft
504,650.0,2.0,60,2.0,other,50.0,0,1,0,0,7692.31
505,900.0,2.0,84,1.0,other,90.0,0,1,0,0,10000.0
506,900.0,2.0,84,2.0,other,70.0,1,0,0,0,7777.78
509,950.0,2.0,88,2.0,other,145.0,0,1,0,0,15263.16
510,700.0,1.0,65,1.0,other,55.0,0,0,0,1,7857.14
511,500.0,1.0,46,1.0,other,45.0,0,1,0,0,9000.0
514,900.0,2.0,84,2.0,other,68.0,0,1,0,0,7555.56
516,700.0,2.0,65,2.0,other,120.0,0,1,0,0,17142.86
518,450.0,1.0,42,1.0,other,24.0,0,0,0,1,5333.33
520,904.0,3.0,84,2.0,other,125.0,0,0,0,1,13827.43
523,648.0,2.0,60,2.0,other,62.0,1,0,0,0,9567.9
524,500.0,1.0,46,1.0,other,12.99,0,1,0,0,2598.0
525,400.0,1.0,37,1.0,other,10.5,0,1,0,0,2625.0
526,720.0,2.0,67,2.0,other,85.0,0,1,0,0,11805.56
527,450.0,1.0,42,1.0,other,14.0,0,1,0,0,3111.11
531,800.0,2.0,74,2.0,other,68.0,1,0,0,0,8500.0
532,500.0,1.0,46,1.0,other,80.0,0,1,0,0,16000.0
534,398.0,1.0,37,1.0,other,24.0,0,1,0,0,6030.15
535,780.0,2.0,72,2.0,other,55.0,0,1,0,0,7051.28
537,900.0,2.0,84,2.0,other,110.0,1,0,0,0,12222.22
540,900.0,2.0,84,2.0,other,105.0,0,1,0,0,11666.67
543,850.0,2.0,79,2.0,other,95.0,1,0,0,0,11176.47
548,900.0,2.0,84,2.0,other,80.0,1,0,0,0,8888.89
550,630.0,2.0,59,2.0,other,45.0,1,0,0,0,7142.86
551,450.0,1.0,42,1.0,other,22.0,1,0,0,0,4888.89
552,910.0,1.0,85,1.0,other,135.0,0,0,1,0,14835.16
553,350.0,1.0,33,1.0,other,30.0,1,0,0,0,8571.43
554,900.0,2.0,84,2.0,other,140.0,0,1,0,0,15555.56
555,312.0,1.0,29,1.0,other,25.0,0,0,0,1,8012.82
557,720.0,2.0,67,2.0,other,64.0,1,0,0,0,8888.89
559,850.0,2.0,79,2.0,other,135.0,0,1,0,0,15882.35
560,301.0,1.0,28,1.0,other,24.0,0,0,0,1,7973.42
561,550.0,1.0,51,1.0,other,55.0,0,1,0,0,10000.0
562,828.0,2.0,77,2.0,other,95.0,0,1,0,0,11473.43
564,950.0,2.0,88,2.0,other,95.0,1,0,0,0,10000.0
565,333.0,1.0,31,1.0,other,13.95,0,1,0,0,4189.19
568,550.0,1.0,51,1.0,other,1.08,0,1,0,0,196.36
570,310.0,1.0,29,1.0,other,25.0,0,1,0,0,8064.52
571,301.0,1.0,28,1.0,other,29.0,0,1,0,0,9634.55
574,500.0,1.0,46,1.0,other,44.1,0,0,0,1,8820.0
575,900.0,3.0,84,2.0,other,75.0,1,0,0,0,8333.33
576,680.0,2.0,63,2.0,other,56.0,0,1,0,0,8235.29
577,450.0,1.0,42,1.0,other,15.0,0,1,0,0,3333.33
578,900.0,1.0,84,1.0,other,80.0,0,1,0,0,8888.89
579,800.0,2.0,74,2.0,other,77.0,0,0,0,1,9625.0
582,450.0,1.0,42,1.0,other,35.0,0,1,0,0,7777.78
584,648.0,2.0,60,2.0,other,60.0,0,1,0,0,9259.26
586,650.0,2.0,60,2.0,other,50.0,0,1,0,0,7692.31
587,450.0,1.0,42,1.0,other,16.5,0,1,0,0,3666.67
588,405.0,1.0,38,1.0,other,12.0,0,1,0,0,2962.96
589,900.0,2.0,84,2.0,other,120.0,1,0,0,0,13333.33
590,480.0,1.0,45,1.0,other,20.0,0,1,0,0,4166.67
592,445.0,1.0,41,1.0,other,24.0,0,1,0,0,5393.26
594,534.0,1.0,50,1.0,other,50.0,0,1,0,0,9363.3
595,980.0,3.0,91,2.0,other,175.0,0,0,0,1,17857.14
597,500.0,1.0,46,1.0,other,25.0,0,0,1,0,5000.0
598,350.0,1.0,33,1.0,other,25.0,0,0,0,1,7142.86
599,645.0,2.0,60,2.0,other,52.0,0,1,0,0,8062.02
600,700.0,2.0,65,2.0,other,60.0,0,1,0,0,8571.43
604,893.0,2.0,83,2.0,other,100.0,0,1,0,0,11198.21
605,750.0,2.0,70,1.0,other,80.0,0,0,0,1,10666.67
607,360.0,1.0,33,1.0,other,15.5,0,1,0,0,4305.56
608,450.0,1.0,42,1.0,other,17.25,0,0,0,1,3833.33
609,450.0,1.0,42,1.0,other,14.0,0,1,0,0,3111.11
611,750.0,2.0,70,2.0,other,55.0,1,0,0,0,7333.33
612,535.0,1.0,50,1.0,other,30.0,0,1,0,0,5607.48
613,720.0,1.0,67,1.0,other,55.0,0,1,0,0,7638.89
614,800.0,1.0,74,1.0,other,15.0,0,0,0,1,1875.0
615,600.0,2.0,56,2.0,other,60.0,0,0,1,0,10000.0
616,405.0,1.0,38,1.0,other,22.5,0,1,0,0,5555.56
617,900.0,3.0,84,2.0,other,75.0,0,1,0,0,8333.33
618,800.0,1.0,74,1.0,other,40.0,0,1,0,0,5000.0
620,450.0,1.0,42,1.0,other,28.0,0,0,0,1,6222.22
622,625.0,1.0,58,2.0,other,40.0,0,1,0,0,6400.0
623,480.0,1.0,45,1.0,other,21.0,0,1,0,0,4375.0
624,750.0,2.0,70,2.0,other,70.0,0,1,0,0,9333.33
625,713.0,2.0,66,2.0,other,105.0,0,1,0,0,14726.51
626,450.0,1.0,42,1.0,other,12.5,0,1,0,0,2777.78
627,900.0,2.0,84,2.0,other,110.0,0,1,0,0,12222.22
629,990.0,3.0,92,2.0,other,90.0,1,0,0,0,9090.91
631,645.0,2.0,60,2.0,other,75.0,1,0,0,0,11627.91
633,900.0,1.0,84,1.0,other,39.5,0,1,0,0,4388.89
634,600.0,2.0,56,2.0,other,58.0,0,1,0,0,9666.67
635,600.0,2.0,56,2.0,other,65.0,0,1,0,0,10833.33
637,950.0,3.0,88,2.0,other,95.0,0,1,0,0,10000.0
640,802.0,2.0,75,2.0,other,65.0,1,0,0,0,8104.74
642,300.0,1.0,28,2.0,other,42.0,1,0,0,0,14000.0
643,344.0,1.0,32,1.0,other,21.0,0,1,0,0,6104.65
645,900.0,2.0,84,2.0,other,135.0,0,1,0,0,15000.0
647,900.0,2.0,84,2.0,other,100.0,0,0,0,1,11111.11
649,450.0,1.0,42,1.0,other,16.75,1,0,0,0,3722.22
651,850.0,2.0,79,2.0,other,85.0,1,0,0,0,10000.0
652,760.0,2.0,71,2.0,other,115.0,0,1,0,0,15131.58
654,900.0,2.0,84,2.0,other,135.0,0,1,0,0,15000.0
655,700.0,1.0,65,1.0,other,30.0,0,0,0,1,4285.71
657,387.0,1.0,36,1.0,other,24.0,0,1,0,0,6201.55
658,360.0,1.0,33,1.0,other,17.0,0,1,0,0,4722.22
659,945.0,3.0,88,2.0,other,100.0,0,0,0,1,10582.01
661,400.0,1.0,37,1.0,other,19.5,1,0,0,0,4875.0
663,900.0,3.0,84,1.0,other,90.0,1,0,0,0,10000.0
664,753.0,2.0,70,2.0,other,80.0,1,0,0,0,10624.17
666,990.0,3.0,92,2.0,other,105.0,1,0,0,0,10606.06
668,450.0,1.0,42,1.0,other,18.0,1,0,0,0,4000.0
669,900.0,2.0,84,2.0,other,75.0,0,0,0,1,8333.33
672,640.0,2.0,59,1.0,other,55.0,0,1,0,0,8593.75
674,540.0,1.0,50,1.0,other,40.0,1,0,0,0,7407.41
675,720.0,2.0,67,2.0,other,75.0,0,1,0,0,10416.67
678,945.0,2.0,88,2.0,other,155.0,0,1,0,0,16402.12
680,470.0,1.0,44,1.0,other,32.0,0,0,0,1,6808.51
683,495.0,1.0,46,1.0,other,19.5,0,0,0,1,3939.39
684,560.0,1.0,52,2.0,other,18.0,0,1,0,0,3214.29
685,360.0,1.0,33,2.0,other,15.0,1,0,0,0,4166.67
686,960.0,3.0,89,3.0,other,145.0,1,0,0,0,15104.17
687,450.0,1.0,42,1.0,other,21.0,0,1,0,0,4666.67
688,760.0,2.0,71,2.0,other,200.0,1,0,0,0,26315.79
689,405.0,1.0,38,1.0,other,20.5,0,1,0,0,5061.73
692,405.0,1.0,38,1.0,other,21.0,0,1,0,0,5185.19
693,602.0,1.0,56,1.0,other,66.0,0,1,0,0,10963.46
694,900.0,2.0,84,2.0,other,70.0,0,1,0,0,7777.78
698,800.0,1.0,74,2.0,other,110.0,0,1,0,0,13750.0
700,500.0,1.0,46,1.0,other,30.0,1,0,0,0,6000.0
701,890.0,2.0,83,2.0,other,110.0,1,0,0,0,12359.55
703,400.0,1.0,37,1.0,other,22.0,0,1,0,0,5500.0
705,900.0,2.0,84,2.0,other,84.5,0,0,0,1,9388.89
706,980.0,3.0,91,2.0,other,110.0,0,1,0,0,11224.49
708,900.0,3.0,84,3.0,other,130.0,0,1,0,0,14444.44
709,675.0,2.0,63,2.0,other,55.0,0,1,0,0,8148.15
712,900.0,2.0,84,2.0,other,90.0,0,0,0,1,10000.0
714,900.0,2.0,84,2.0,other,99.8,0,1,0,0,11088.89
715,810.0,2.0,75,2.0,other,95.0,0,0,0,1,11728.4
716,750.0,2.0,70,2.0,other,85.0,1,0,0,0,11333.33
717,900.0,2.0,84,2.0,other,125.0,1,0,0,0,13888.89
718,753.0,2.0,70,1.0,other,120.0,0,1,0,0,15936.25
719,500.0,1.0,46,2.0,other,45.0,0,0,1,0,9000.0
720,675.0,2.0,63,1.0,other,55.0,0,1,0,0,8148.15
721,900.0,3.0,84,3.0,other,75.0,0,0,1,0,8333.33
722,900.0,2.0,84,2.0,other,120.0,0,1,0,0,13333.33
728,900.0,2.0,84,2.0,other,95.0,1,0,0,0,10555.56
731,945.0,2.0,88,2.0,other,90.0,0,1,0,0,9523.81
732,334.0,1.0,31,1.0,other,18.0,0,0,0,1,5389.22
733,750.0,2.0,70,2.0,other,58.5,1,0,0,0,7800.0
734,600.0,1.0,56,1.0,other,15.0,0,0,0,1,2500.0
735,450.0,1.0,42,1.0,other,30.0,1,0,0,0,6666.67
737,460.0,1.0,43,1.0,other,11.0,0,1,0,0,2391.3
738,675.0,2.0,63,2.0,other,80.0,0,1,0,0,11851.85
739,340.0,1.0,32,1.0,other,12.3,0,1,0,0,3617.65
740,800.0,2.0,74,2.0,other,60.0,1,0,0,0,7500.0
742,500.0,1.0,46,1.0,other,28.0,0,1,0,0,5600.0
744,753.0,2.0,70,2.0,other,82.0,0,1,0,0,10889.77
745,480.0,1.0,45,1.0,other,46.0,0,1,0,0,9583.33
746,500.0,1.0,46,1.0,other,50.0,0,0,0,1,10000.0
