,total_sqft,bhk,sq_m,baths,Location,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft
77,900.0,2.0,84,2.0,Mehrauli,35.0,0,1,0,0,3888.89
78,650.0,2.0,60,1.0,Mehrauli,25.0,0,0,0,1,3846.15
79,900.0,2.0,84,2.0,Mehrauli,32.0,0,0,0,1,3555.56
80,800.0,2.0,74,2.0,Mohan Garden,35.0,0,1,0,0,4375.0
81,947.0,3.0,88,2.0,Mohan Garden,48.0,0,1,0,0,5068.64
82,900.0,3.0,84,2.0,Mohan Garden,38.5,0,1,0,0,4277.78
83,900.0,3.0,84,2.0,Mohan Garden,45.0,0,1,0,0,5000.0
84,900.0,3.0,84,2.0,Mohan Garden,38.0,1,0,0,0,4222.22
85,610.0,2.0,57,1.0,Mohan Garden,27.0,1,0,0,0,4426.23
86,550.0,1.0,51,1.0,Om Vihar,27.5,1,0,0,0,5000.0
87,900.0,3.0,84,2.0,Om Vihar,54.0,0,1,0,0,6000.0
88,914.0,3.0,85,2.0,Om Vihar,50.0,1,0,0,0,5470.46
89,900.0,3.0,84,2.0,Om Vihar,48.0,0,1,0,0,5333.33
91,990.0,2.0,92,2.0,Paschim Vihar,90.0,0,1,0,0,9090.91
92,850.0,2.0,79,1.0,Paschim Vihar,86.0,0,1,0,0,10117.65
93,810.0,2.0,75,2.0,Paschim Vihar,85.0,0,1,0,0,10493.83
95,900.0,2.0,84,2.0,Paschim Vihar,120.0,0,0,0,1,13333.33
96,645.0,2.0,60,2.0,Paschim Vihar,90.0,0,1,0,0,13953.49
97,900.0,2.0,84,1.0,Paschim Vihar,125.0,0,0,0,1,13888.89
98,900.0,3.0,84,2.0,Pitampura,88.0,0,0,0,1,9777.78
99,807.0,1.0,75,2.0,Pitampura,100.0,1,0,0,0,12391.57
100,360.0,1.0,33,1.0,Pitampura,45.0,1,0,0,0,12500.0
101,650.0,2.0,60,1.0,Pitampura,60.0,0,1,0,0,9230.77
102,650.0,2.0,60,2.0,Pitampura,70.0,0,0,0,1,10769.23
103,538.0,1.0,50,1.0,Pitampura,50.0,0,0,1,0,9293.68
104,650.0,2.0,60,1.0,Sector 16 Rohini,37.0,1,0,0,0,5692.31
105,600.0,2.0,56,2.0,Sector 16 Rohini,65.0,0,1,0,0,10833.33
106,635.0,2.0,59,2.0,Sector 16 Rohini,55.51,0,1,0,0,8741.73
107,340.0,1.0,32,1.0,Sector 16 Rohini,21.0,0,0,0,1,6176.47
108,635.0,2.0,59,2.0,Sector 22 Rohini,55.0,1,0,0,0,8661.42
109,968.0,3.0,90,2.0,Sector 22 Rohini,65.0,0,1,0,0,6714.88
110,850.0,2.0,79,1.0,Shahadra,37.5,0,0,1,0,4411.76
111,900.0,2.0,84,2.0,Shahadra,60.0,1,0,0,0,6666.67
112,630.0,1.0,59,1.0,Shahadra,27.0,0,1,0,0,4285.71
113,675.0,2.0,63,2.0,Tilak Nagar,51.0,0,1,0,0,7555.56
114,624.0,2.0,58,2.0,Tilak Nagar,48.0,0,1,0,0,7692.31
115,460.0,1.0,43,1.0,Tilak Nagar,34.0,0,1,0,0,7391.3
116,900.0,3.0,84,4.0,Tilak Nagar,60.0,1,0,0,0,6666.67
117,990.0,2.0,92,2.0,Tilak Nagar,60.0,0,0,0,1,6060.61
118,900.0,2.0,84,2.0,Tilak Nagar,60.0,1,0,0,0,6666.67
119,900.0,3.0,84,2.0,Tilak Nagar,72.0,0,1,0,0,8000.0
120,360.0,1.0,33,1.0,Tilak Nagar,22.0,0,0,0,1,6111.11
122,620.0,2.0,58,2.0,Uttam Nagar,28.0,0,0,0,1,4516.13
123,555.0,1.0,52,1.0,Uttam Nagar,20.0,0,1,0,0,3603.6
125,400.0,1.0,37,1.0,Uttam Nagar,18.0,0,1,0,0,4500.0
127,720.0,2.0,67,2.0,Uttam Nagar,45.0,0,0,0,1,6250.0
128,450.0,1.0,42,1.0,Uttam Nagar,20.0,0,1,0,0,4444.44
129,650.0,2.0,60,2.0,Uttam Nagar,32.0,0,0,0,1,4923.08
130,900.0,2.0,84,2.0,Uttam Nagar,38.0,0,0,0,1,4222.22
131,625.0,2.0,58,2.0,Uttam Nagar,35.0,0,0,0,1,5600.0
132,600.0,2.0,56,2.0,Uttam Nagar,30.0,0,1,0,0,5000.0
134,900.0,3.0,84,2.0,Uttam Nagar,46.0,0,1,0,0,5111.11
136,720.0,2.0,67,2.0,Uttam Nagar,46.0,1,0,0,0,6388.89
137,650.0,2.0,60,2.0,Uttam Nagar,32.0,0,0,0,1,4923.08
138,550.0,1.0,51,1.0,Uttam Nagar,18.5,0,1,0,0,3363.64
139,450.0,1.0,42,1.0,Uttam Nagar,25.0,0,0,0,1,5555.56
140,450.0,1.0,42,1.0,Uttam Nagar,17.0,0,1,0,0,3777.78
141,900.0,3.0,84,2.0,Uttam Nagar,43.0,0,1,0,0,4777.78
142,900.0,3.0,84,2.0,Uttam Nagar,50.0,0,0,0,1,5555.56
143,375.0,1.0,35,1.0,Uttam Nagar,12.0,1,0,0,0,3200.0
145,900.0,2.0,84,1.0,Uttam Nagar,46.0,0,0,0,1,5111.11
146,850.0,2.0,79,1.0,Vikas Puri,75.0,0,0,0,1,8823.53
147,860.0,2.0,80,2.0,Vikas Puri,105.0,0,0,0,1,12209.3
148,750.0,2.0,70,2.0,Vikas Puri,82.0,0,1,0,0,10933.33
149,774.0,2.0,72,2.0,Vikas Puri,85.0,0,1,0,0,10981.91
150,900.0,3.0,84,2.0,Vikas Puri,86.0,0,0,1,0,9555.56
151,754.0,2.0,70,2.0,Vikas Puri,79.0,0,1,0,0,10477.45
152,540.0,1.0,50,1.0,Vishnu Garden,41.0,0,0,0,1,7592.59
153,750.0,2.0,70,2.0,Vishnu Garden,62.0,0,1,0,0,8266.67
154,900.0,3.0,84,2.0,Vishnu Garden,70.0,0,1,0,0,7777.78
155,750.0,2.0,70,2.0,Vishnu Garden,62.0,0,0,0,1,8266.67
156,810.0,1.0,75,2.0,Vishnu Garden,52.0,1,0,0,0,6419.75
157,990.0,2.0,92,2.0,Vishnu Garden,60.0,0,1,0,0,6060.61
158,900.0,3.0,84,2.0,other,155.0,0,1,0,0,17222.22
159,807.0,2.0,75,2.0,other,130.0,1,0,0,0,16109.05
160,350.0,1.0,33,1.0,other,25.0,0,1,0,0,7142.86
162,900.0,3.0,84,3.0,other,95.0,0,1,0,0,10555.56
163,900.0,2.0,84,2.0,other,98.0,0,1,0,0,10888.89
164,630.0,2.0,59,1.0,other,90.0,0,1,0,0,14285.71
165,900.0,2.0,84,2.0,other,85.0,0,1,0,0,9444.44
166,900.0,2.0,84,2.0,other,120.0,0,1,0,0,13333.33
168,720.0,2.0,67,2.0,other,58.0,0,0,0,1,8055.56
169,360.0,1.0,33,2.0,other,20.5,0,0,0,1,5694.44
170,753.0,2.0,70,2.0,other,100.0,0,1,0,0,13280.21
171,753.0,2.0,70,2.0,other,95.0,0,1,0,0,12616.2
172,770.0,2.0,72,2.0,other,150.0,0,1,0,0,19480.52
173,356.0,1.0,33,1.0,other,75.0,0,0,1,0,21067.42
176,648.0,2.0,60,2.0,other,72.0,0,1,0,0,11111.11
178,950.0,2.0,88,2.0,other,139.0,0,1,0,0,14631.58
180,500.0,1.0,46,1.0,other,35.0,0,0,0,1,7000.0
185,720.0,2.0,67,1.0,other,69.0,0,1,0,0,9583.33
186,800.0,2.0,74,2.0,other,60.0,0,1,0,0,7500.0
187,900.0,3.0,84,3.0,other,75.0,0,1,0,0,8333.33
188,600.0,1.0,56,1.0,other,23.0,0,1,0,0,3833.33
191,950.0,2.0,88,2.0,other,107.0,0,1,0,0,11263.16
192,750.0,2.0,70,2.0,other,75.0,1,0,0,0,10000.0
193,366.0,1.0,34,1.0,other,12.0,0,0,0,1,3278.69
194,850.0,2.0,79,2.0,other,75.0,0,1,0,0,8823.53
195,720.0,1.0,67,1.0,other,100.0,1,0,0,0,13888.89
196,700.0,2.0,65,2.0,other,50.0,0,1,0,0,7142.86
198,950.0,2.0,88,2.0,other,85.0,0,1,0,0,8947.37
199,320.0,1.0,30,1.0,other,18.0,0,1,0,0,5625.0
