,total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
46,700.0,2.0,2.0,35.0,1,0,0,0,5000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,990.0,3.0,2.0,75.0,1,0,0,0,7575.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,675.0,2.0,3.0,41.0,1,0,0,0,6074.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,621.0,2.0,2.0,40.0,0,1,0,0,6441.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,630.0,2.0,2.0,40.0,1,0,0,0,6349.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,861.0,2.0,2.0,35.0,1,0,0,0,4065.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,900.0,3.0,2.0,62.0,0,1,0,0,6888.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,830.0,2.0,2.0,43.0,0,1,0,0,5180.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,630.0,2.0,2.0,40.0,1,0,0,0,6349.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,900.0,3.0,2.0,85.0,0,1,0,0,9444.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,914.0,3.0,2.0,85.0,1,0,0,0,9299.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,720.0,2.0,2.0,43.7,1,0,0,0,6069.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,927.0,3.0,3.0,70.0,1,0,0,0,7551.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,495.0,1.0,1.0,24.0,0,1,0,0,4848.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,450.0,1.0,1.0,23.0,0,1,0,0,5111.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,700.0,2.0,2.0,64.0,0,0,0,1,9142.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,675.0,2.0,2.0,35.0,0,1,0,0,5185.19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,800.0,2.0,2.0,38.0,1,0,0,0,4750.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,600.0,2.0,2.0,40.0,0,1,0,0,6666.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,700.0,2.0,2.0,36.0,0,1,0,0,5142.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,450.0,1.0,1.0,19.0,1,0,0,0,4222.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,700.0,2.0,2.0,35.0,1,0,0,0,5000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,950.0,2.0,2.0,50.0,0,0,0,1,5263.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,765.0,2.0,2.0,45.0,1,0,0,0,5882.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,450.0,1.0,1.0,21.5,0,1,0,0,4777.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
